date,max_temp,min_temp
2025-11-03,,
2025-11-04,,
2025-11-05,,
2025-11-06,,
2025-11-07,,
2025-11-08,,
2025-11-09,,
2025-11-10,31.7,20.0
2025-11-11,35.7,17.9
2025-11-12,38.1,23.9
2025-11-13,34.6,21.2
2025-11-14,31.5,22.1
2025-11-15,36.5,20.5
2025-11-16,29.1,21.1
2025-11-17,30.0,20.8
2025-11-18,29.0,18.3
2025-11-19,31.4,15.8
2025-11-20,34.1,17.6
2025-11-21,36.3,18.8
2025-11-22,37.3,21.9
2025-11-23,35.8,22.9
2025-11-24,33.1,20.4
2025-11-25,34.3,18.6
2025-11-26,35.5,18.8
2025-11-27,34.5,20.0
2025-11-28,35.8,19.2
2025-11-29,36.8,19.7
2025-11-30,38.8,17.8
2025-12-01,36.7,22.9
2025-12-02,34.2,21.7
2025-12-03,31.2,22.0
2025-12-04,32.0,21.6
2025-12-05,32.4,21.3
2025-12-06,33.1,22.7
2025-12-07,32.8,23.5
2025-12-08,29.4,23.4
2025-12-09,25.5,22.2
2025-12-10,32.5,22.3
2025-12-11,32.4,22.3
2025-12-12,32.0,23.5
2025-12-13,30.6,22.7
2025-12-14,31.8,22.6
2025-12-15,33.0,22.2
2025-12-16,30.3,22.8
2025-12-17,28.5,22.2
2025-12-18,30.2,20.1
2025-12-19,31.0,22.7
2025-12-20,31.6,23.4
2025-12-21,32.0,23.3
2025-12-22,33.7,23.5
2025-12-23,34.0,23.9
2025-12-24,34.9,22.0
2025-12-25,35.2,22.9
2025-12-26,36.0,22.9
2025-12-27,36.1,21.1
2025-12-28,34.8,23.5
2025-12-29,33.6,19.8
2025-12-30,34.8,21.7
2025-12-31,33.2,23.0
2026-01-01,33.4,22.6
2026-01-02,32.0,22.9
2026-01-03,30.3,22.4
2026-01-04,33.0,21.6
2026-01-05,32.1,21.7
2026-01-06,31.5,21.1
2026-01-07,31.5,22.0
2026-01-08,32.1,22.5
2026-01-09,34.3,22.3
2026-01-10,33.6,21.8
2026-01-11,33.6,19.8
2026-01-12,30.8,21.3
2026-01-13,30.6,21.8
2026-01-14,31.8,21.1
2026-01-15,32.8,20.8
2026-01-16,32.5,21.9
2026-01-17,32.4,21.1
2026-01-18,31.3,22.4
2026-01-19,31.2,22.5
2026-01-20,30.2,20.1
2026-01-21,30.7,19.8
2026-01-22,30.9,20.1
2026-01-23,30.5,20.1
2026-01-24,31.8,21.3
2026-01-25,33.0,21.8
2026-01-26,31.9,21.3
2026-01-27,30.4,21.3
2026-01-28,31.2,20.1
2026-01-29,29.9,21.9
2026-01-30,30.4,21.9
2026-01-31,31.4,21.7
2026-02-01,31.5,22.1
